# this is read by gen-calendar from chj-scripts

# https://feiertage-ch.ch/feiertage-2024/
Valentinstag 2024 	Mittwoch 14 Februar 2024 	07
Ostersonntag 2024 	Sonntag 31 März 2024 	13
Muttertag 2024 	Sonntag 12 Mai 2024 	19
Pfingstsonntag 2024 	Sonntag 19 Mai 2024 	20
Vatertag 2024 	Sonntag 2 Juni 2024 	22
Welttierschutztag 2024 	Freitag 4 Oktober 2024 	40
Halloween 2024 	Donnerstag 31 Oktober 2024 	44
Black Friday 2024 	Freitag 29 November 2024 	48
Silvester 2024 	Dienstag 31 Dezember 2024 	01

# https://feiertage-ch.ch/feiertage-2025/
Valentinstag 2025 	Freitag 14 Februar 2025 	07
Ostersonntag 2025 	Sonntag 20 April 2025 	16
Muttertag 2025 	Sonntag 11 Mai 2025 	19
Vatertag 2025 	Sonntag 1 Juni 2025 	22
Pfingstsonntag 2025 	Sonntag 8 Juni 2025 	23
Welttierschutztag 2025 	Samstag 4 Oktober 2025 	40
Halloween 2025 	Freitag 31 Oktober 2025 	44
Black Friday 2025 	Freitag 28 November 2025 	48
Silvester 2025 	Mittwoch 31 Dezember 2025 	01

# https://feiertage-ch.ch/feiertage-2026/
Valentinstag 2026 	Samstag 14 Februar 2026 	07
Ostersonntag 2026 	Sonntag 5 April 2026 	14
Muttertag 2026 	Sonntag 10 Mai 2026 	19
Pfingstsonntag 2026 	Sonntag 24 Mai 2026 	21
Vatertag 2026 	Sonntag 7 Juni 2026 	23
Welttierschutztag 2026 	Sonntag 4 Oktober 2026 	40
Halloween 2026 	Samstag 31 Oktober 2026 	44
Black Friday 2026 	Freitag 27 November 2026 	48
Silvester 2026 	Donnerstag 31 Dezember 2026 	53

Valentinstag 2027 	Sonntag 14 Februar 2027 	06
Ostersonntag 2027 	Sonntag 28 März 2027 	12
Muttertag 2027 	Sonntag 9 Mai 2027 	18
Pfingstsonntag 2027 	Sonntag 16 Mai 2027 	19
Vatertag 2027 	Sonntag 6 Juni 2027 	22
Welttierschutztag 2027 	Montag 4 Oktober 2027 	40
Halloween 2027 	Sonntag 31 Oktober 2027 	43
Black Friday 2027 	Freitag 26 November 2027 	47
Silvester 2027 	Freitag 31 Dezember 2027 	52

Valentinstag 2028 	Montag 14 Februar 2028 	07
Ostersonntag 2028 	Sonntag 16 April 2028 	15
Muttertag 2028 	Sonntag 14 Mai 2028 	19
Pfingstsonntag 2028 	Sonntag 4 Juni 2028 	22
Vatertag 2028 	Sonntag 4 Juni 2028 	22
Welttierschutztag 2028 	Mittwoch 4 Oktober 2028 	40
Halloween 2028 	Dienstag 31 Oktober 2028 	44
Black Friday 2028 	Freitag 24 November 2028 	47
Silvester 2028 	Sonntag 31 Dezember 2028 	52

Valentinstag 2029 	Mittwoch 14 Februar 2029 	07
Ostersonntag 2029 	Sonntag 1 April 2029 	13
Muttertag 2029 	Sonntag 13 Mai 2029 	19
Pfingstsonntag 2029 	Sonntag 20 Mai 2029 	20
Vatertag 2029 	Sonntag 3 Juni 2029 	22
Welttierschutztag 2029 	Donnerstag 4 Oktober 2029 	40
Halloween 2029 	Mittwoch 31 Oktober 2029 	44
Black Friday 2029 	Freitag 23 November 2029 	47
Silvester 2029 	Montag 31 Dezember 2029 	01

